drugName,review,rating
Morphine,"""as the morphine was effective the more lasting effective was unexpected.  i lost 12 teeth.  a side affect?  i don't have any other explanation.  the health of my teeth was great before the 18 months of morphine.  i was finally referred to a back pain specialist.  i was to get off all medications to receive the injections.  cold turkey was the same as described any heroin withdrawal. but i survived.  i am taking a strong anti inflammatory twice a day that seems to after 9 years keep the pain and the sciatica at bay.  i still have numbness in my toes but that is nerve damage from the inflammation.  i live with that.  my lack of upper teeth to chew my food is uncomfortable and embarrassing, no more smiles for me.  no money for replacements.""",5
Amoxicillin / clavulanate,"""february 16th 2017, had nasal polyp's removed, amox- clav  875-125 mg was prescribed by my dr. after surgery. i'm personally allergic to a lot. i know some medicines have ingredients i'm allergic to, this may be the reason i responded so poorly to this medicine, after taking this antibiotic, i had an severe allergic reaction. red splotches started from my face, neck, back, arms, and continued on my thighs, legs and feet. my legs and feet became swollen. the red splotches began to merge together to become a big red spread instead of splotches. i considered going to the er, however, i had benadryl and decided to take the benadryl first, after an hour, the symptoms started to subside. four hours later i took another benadryl. had to discontinue""",1
Depo-Provera,"""so i've had two shots so far
 my period has been heavy when i get it and i spot all month long. i've experienced depression in the past and it seems like it's gotten worse on the shot. i've actually attempted suicide since i've started the shot.my sex drive is crap and my mood swings are crazy. i don't recommend this shot to anyone""",2
Fluoxetine,"""i took prozac for about five months 1989-90.  i felt buoyant for the first six weeks, then less so.  after three months or so, my mood was down and my fingers were stiff and painful upon waking.  after four months, both hands and feet were in pain and did not function for an hour after waking.  the condition persisted, in an ever-diminishing form, for five years after discontinuation of the medicine.  i am told that my reaction was rare; nevertheless, it happened to me.""",1
Buprenorphine,"""this medication used the correct way can and will save lives!! i was using 20 to 30 vicodin tabs a day my friend offered me heroin i said no and started suboxone it saved my life no question""",10
Metformin,"""i was diagnosed with pcos in june. i started taking metformin 3 weeks and i've noticed a big difference in my appetite. i'm not hungry as often. i have been getting diarrhea and nausea but i have a very sensitive stomach so i'm not surprised. no other changes yet. i'm 4 months late so hopefully it'll bring my period.""",7
Lutera,"""this was my first time on any birth control and i did not have a good experience. this birth control made me nauseous, gave me headaches, caused me to gain weight, gave me horrible break outs, and even made me sick. i took this for less than a week, i will never recommend this to somebody. i was put on this by my doctor so i hadn't had a chance to look it up before i got on it. this is not a thing i will take again or give another chance. i suggest trying something different.""",1
Aromasin,"""i took two years of tamoxifen, without much side effects that i cannot manage. i took femara for one year and could not even turn my head and had joint pains to the point i could not turn my head when i was driving. now i just got off exemestane after 6 months as i cannot sleep even with sleeping pills. i am five years out from chemo and doctor still wants me to take the pills for another year and four months. """,3
Mirena,"""i love my iud for many reasons. a lot of these reviews are just based off of the initial side effects and insertion. while i admit it was mildly painful for the first 24 hours and the spotting lasted 1-2 months, i am now 3 years in, and couldn't be happier. my period is 95% lighter and lasts only an hour, i never get cramps anymore, and i am comforted by the fact that it is so reliable! no weight gain or mood changes and my skin is still clear. some people say these cause infertility but that is not true. iuds have undergone many many clinical studies which show that is not the case! don't let people on here scare you :) if you want the facts, go to a credible source. http://www.sciencedirect.com/science/article/pii/0010782485900484""",10
Imitrex,"""imitrex is a wonderful medication! i have had hormone-related migraines for a few years now, and while nsaids would shorten them, they wouldn't eliminate them completely. i only had to take a 25 mg imitrex pill and rest for a little bit, and my headache was gone within an hour or so! the only side effects i may have experienced were a slight ache around my forehead and jaw as the headache was fading and a little bit of feeling ""out there"", though these feelings could have been due to the migraine itself. overall, i would highly recommend this medication and am very grateful to its makers!""",10
Suprep Bowel Prep Kit,"""not as bad as i was expecting.  the taste is like salty cough syrup, but better than nyquil.  the volume to drink wasn't insurmountable.  and the effect of the wasn't violent.  just know that anything you drink after ingesting the dose will be passed soon afterwards for about then next 4 hours.  based on all the reviews of other methods, this seems to be the mildest.""",8
Prozac,"""i've struggled with bulimia (as well as depression/mood disorder) for about eight years now. i've been on prozac three separate times (i quit taking it during my pregnancies) and i stop binging and purging every time i get back on it. it has also benefited my relationships and improved my parenting abilities. every other medication i tried was just too hard on me, but prozac doesn't affect me in any noticeably negative way.""",10
Duloxetine,"""i take 60 mg of cymbalta for depression for the last 5 years and i've felt a noticeable difference in my mood (depression lifted). i used to cry all the time for any little thing, and now my emotions are in check, no more cry baby! there are a few side effects, including out-of-nowhere jerking. it doesn't happen much, but when it does, it's weird! this is a medicine you cannot miss. i have inadvertently missed a dose and was back to the weepies, to the sadness. before i tried cymbalta, i had tried many, many other antidepressants and they never had any effect on my depression. then there was cymbalta. thank goodness for this medicine. i can't imagine my life without it. what a blessing.""",8
Trulicity,"""my first 2 weeks were awful! nausea, constipation, extreme stomach ache, loss of appetite and a muscle spasms on my trapezoid, missed a few days of work and one emergency room visit for the muscle spasm. the third week was a whole lot better, and now i'm 2 months in have lost 30 lbs! little to no side effects, and feel great! blood sugar numbers are no higher than 98 and they stay stable pretty much all day""",10
Zolpidem,"""i have been taking ambien every night for a over 20 years. i am a nurse and it's very difficult to work swing shift and teach yourself to sleep whenever ..esp if you suffer from insomnia. i have had insomnia since a child, probably sleep walking. sleep eating prior to taking the medicine. now that i have it ..my life has improved 200 percent .no one can imaging how disturbing it is to lie in bed for 8 hours wide awake ...knowing you have work soon. when i first took it, i was groggy in the morning ..but now as long as i get 8 hours i wake up feeling awake and amazing ..never grew a tolerance for it. always works. i will say when i had children under 5 ..i would never take it ...not safe ..when you are caring for others .this med saved me.""",10
Nexplanon,"""absolutely hate it had it put in in nov 2014 and by march 2015 i was 85 pounds heavier .i had bad breakouts to the point they became open sores. i was retaining water like crazy and my hair is falling out to the point that i have a patch on the back of my head about 2inx 1inch that is completely bald and smooth like it won't grow back in. just got it cut out today and was told that it could take another 9 months for my hair to. start growing back in. also so irregular with periods i would never know when to carry tampons with me and the one time i don't it comes full force.do not get this unless you want to go from a size 8-10 pants to an 18w... :( hoping the weight comes off so i can go back to normal)""",1
Drospirenone / ethinyl estradiol,"""within the first 3-5 months of taking this pill, my skin had got 10x worse! my face was constantly dry (no moisturizer would make it any better), my face was also red and blotchy and very sensitive, followed by cystic acne! i didn't know whether to give up or carry on at this point, but it couldn't get any worse than it already was, so i carried on. eventually, after the 5th month of taking this pill, my skin had cleared up a lot! i was so relieved. it's now my 9th month of being on yasmin and my skin is in great condition, i get the odd pimple here and there, but sudocrem does the job. my acne has completely cleared up and i feel comfortable enough not to wear foundation. don't give up taking this pill, just give it time!""",9
Effexor,"""i have been on effexor for about 2 years and am now coming off it. i have been taking 75mg once per day. i have gained 80 lbs in the years i have been taking it but since i cut back i have lost ten in about a month. my sex drive has gone from almost every night to maybe twice a month (most of the time my mood had mellowed out).""",7
Mirtazapine,"""this medication has worked great for me. i was feeling pretty well with prozac, but had to switch doses from 20mg to 40mg. the main reason i got off prozac was because i had no appetite and lost 17 lbs which, in my case, was a bad thing since i was already skinny and wanted to bulk up. i switched to remeron, which not only made me feel better mood wise, but increased my appetite and helped me sleep great! it's a 3-in-1 drug for me. it also helped a bit for my anxiety. only have been taking it for about three weeks so i hope my mood, sleep, anxiety, and appetite stay this way.""",9
Duloxetine,"""caused me severe anxiety/agitation.  its action increases norepinephrine levels as well as serotonin...and its that effect on norepinephrine that has me climbing the walls!  not good for my depression or anxiety!""",1
Belviq,"""after two weeks use of the medication, i had three seizures in less than two hours and had to go to er. i have never had seizures in my life. it was the scariest moment of my life.""",1
Miconazole,"""it's 1:23 am here.  i thought i would die!!!!!!!  day three of monistat 3.  i thought the last two nights were a nightmare, boy was i wrong.  i have never felt such intense burning and itching in my life.  i took a very hot (as in hotter than hell) bath and i feel so much better.  i don't know what's going on with this stuff but it's badddd.  i guess it's going to take a female attorney to try this stuff out and file a class action lawsuit.  maybe we'll see the commercial ""if you used monistat and thought you would die call the following number"".  please do not use this product.""",1
Victoza,"""i have been using victoza since 05/15/12. after 3 months my daily blood glucose readings range from 140 in the morning to 180 2 hours after eating and average in the 100 range before meals. my last a1c was 6.2 down from 9.2 prior to starting. weight loss was about 18 pounds, 185 down to 167. also my triglycerides are also normal which they never were before. other than the initial nausea the first week i have no side effects.""",10
Nexium,"""little to no heartburn after taking nexium for 3 days now but high blood pressure, tingly cramps in my stomach that bring me to the verge of throwing up, light headache, difficulty sleeping, throats constrictive. not sure if i can keep taking nexium.""",6
Bupropion / naltrexone,"""i am 30 yo, 5'6, and starting weight 208. i have tried dieting and exercising with no real results. i work at a doctor's office where we have reps come in for different drugs so i was able to ask a lot of questions before deciding to try this med. i took my first tablet yesterday with food and experienced a little nausea for a couple hours but after it subsided i had tons of energy. i had a little trouble getting to sleep but once i did fall asleep i had lots of odd dreams. today i took the tablet with no food and did not experience any nausea and my energy level calmed down slightly but i still felt good. my only real complaint today is stomach pain/gas pains and a little diarrhea.""",6
Sulfamethoxazole / trimethoprim,"""i have terrible, painful cystic acne. i have been on and off this medicine whenever my acne gets out of control. i have been taking it twice a day for the past two weeks and my skin is all cleared up.""",9
Dexlansoprazole,"""kapidex has been the best drug i've been on for gerd. i can eat pretty much all foods now and not deal with chest tightness or nausea that comes with having a hiatial hernia and gerd. i would give this medicine a 10, but the side effects....they are not major or bad, but they are there. since taking the medicine i haven't had diarrhea, but have been constipated on some days. i have had the stomach pains which feel like really bad cramps. but, the worst has been i'm now recovering from a common cold which is a side effect. i wasn't around anyone sick and my allergies are over, so i pinpointed the medicines. other than that, great medicine!""",8
Propranolol,"""recently started graduate school and quickly found out that i had a severe and embarrasing physiological reaction to public speaking. i joined toastmasters and started working on mindfulness and breathing. paradoxically, the harder i worked on getting this problem under control, the worse the anxiety seemed to get. i started researching medication and found proprananol. 
ordered some online. i took some yesterday before my second toastmasters speech and i aced the speech (first one was a really bad without propranonol). this is amazing! i am actually looking forward to my next presentation now.""",10
Flagyl,"""i have been taking flagyl and cipro for diverticulitis and it seems to be helping. after my stay in the hospital where the doctor put me on a food rest for several days, including iv antibiotics he prescribed these two meds. there are some issues i have had taking them such as low energy level, limited concentration when getting tired, but most of all nausea. i recommend if you are going to be taking either or both of these meds always take with plenty of food (meal time not just a snack), don't plan on doing too much (you won't have the energy), and ask your doctor for a as needed prescription of a nausea medicine just in case you need it. i have needed something for nausea at least once daily since on the medicine.""",6
Ledipasvir / sofosbuvir,"""just finishing harvoni got 6 days left of 84 pills . side effect is headache and a little itichy in ankles but feeling so much better had blood test at 4 weeks 
still had small amount of hep c than at 8 weeks non detectable can't wait to see what i'm at in 6 months . i asked to have a drink or glass of wine at a wedding i was going to and doctor said ok well i have had 6 drinks during treatment and i am non dectable but i am eating healthy a lot of green vegetables.""",9
Magnesium sulfate / potassium sulfate / sodium sulfate,"""i am a critical care nurse for over 7 years. i have given prep to hundreds of patients over the years, this is my first self experience. at 28 years old, i have to have a colonoscopy and egd for abdominal pain and bloody stools for over 3 weeks. i have a pretty diverse palate and eat some crazy things, but this: horrible! i choked down every swig. smells half decent, tastes terrible. called my doctor and there really isn't any other prep available. so, i did what i had to do. i will say, the effects weren't terrible. no cramping. no bloating. only nausea was the gagging to get it down. a few watery stools. i understand it's most likely because of the electrolyte mix, but o. m. g! something needs to be done about the taste! indescribable!""",4
Citalopram,"""i've had anxiety my entire life (as long as i can remember). i've had counseling over and over again with no results. i'm 31 now. i took zoloft and klonopin at about 19 years old with horrible side effects. i've been anti-medication since 19, but three days ago, i told my doctor i was fed up with the lack of sleep, full-blown panic attacks, and feeling like i'm dying every hour to a point that my marriage is being adversely affected and my son is suffering from having less than the mom he deserves. he put me on 20 mg of celexa. i don't know what to expect in a few weeks, but i already search for the anxious thoughts and can't find them. i'm so hopeful that side effects will subside and that i'll still be me but better!""",7
Paxil,"""taken off escitalopram 10mg which i was on for years and put onto paroxetine 20mg for generalised anxiety and sleep disorder. experienced terrible side effects- dizziness and almost fainting, headache, tingling extremeties, nausea, weight loss. i was feeling like a whole different person in general. but nothing was worse than the withdrawal effects. i basically felt like a walking dead person- all of the above plus severe flu-like symptoms- i literally couldn't leave bed for days. took a couple of weeks to feel good again but had to start taking escitalopram again to get there.""",1
Vascepa,"""i've been on vascepa (2 pills daily) for about 7 months now. i went from 475 to 625 in three months. i don't know how my try spiked. now i have stomach pain along with knee and back pain. i had back surgery 4 years ago unrelated to taking the drug obviously. however i do have some stomach pain when laying on my belly.""",6
Ethinyl estradiol / norethindrone,"""used to use depo- provera for years. then went through 3 yrs no period. it then came back with a vengence. had abnormally high amount of bleeding for 7-9 days with such severe cramping that it would often result in a missed day or 2 of work each month for months on end before talking to my dr. shortly thereafter, i  eventually got an endometrial biopsy. i was told the endometrial tissue was ""hormonally confused""- was then put on lo loestrin fe. i noticed a huge amount of positive difference within first month & still  presently. light bleeding & minimal cramping for 3 days- it's like night & day. i would highly recommend.""",8
Etonogestrel,"""well, i asked my doctor for a birth control that would not make me gain weight and i have got it! with nexplanon i lost weight and have not gained weight despite max intakes of food. the down part is that i noticed hair loss 3-4 months after this implant. too much hairloss!!! to the point where i am debating whether this wonderful weight maintenance is worth turning into this man (which i feel as with loss of curves and weak hair) my hair is so thin and i have no more curls! it is the worst i have ever seen! 

also causes random spotting and acne (which is ok and not problematic for me)""",7
Levonorgestrel,"""hi everyone! so i had my period on june 6th and the very last day my boyfriend and i had sex with a condom and some how we both finished without realizing that the condom slipped off into me. and my boyfriend wasn't sure if he came inside me or not and i didn't see any cum. this was about midnight when it happened and i will as freaking out. the next morning i went to cvs bought it for $53. ate something then took the pill 8am. (8 hours after the incident) i felt so tired the first week that all i did was want to sleep. then the following weeks i would feel nauseous and had stomach aches. to me i rather have all that then get pregnant. so i'm on birth control pills so i continued to take them then on july 4th i got my period! stay positive! xo""",10
Fentanyl,"""i have been having back pain since 1998, when i had my first spinal fusion. my back is now a solid unit from l3 south.  i am going to see my spine surgeon to see about fixing the latest pain problems. i change my patch every 48 hours. i used the watson patches for several years.  they were effective, except for the falling off mentioned by others.  paper tape solves that issue.  my latest experience is with nylan. these have been wonderful; they actually stay on my skin and the amount of fentanyl is much more consistent.  my new ones are from mallinckrodt/covidien. we will see how they work. before i was put on patches, i went through all the usual meds. they would help, but not keep the pain under control. patches are the way to go.""",9
Fluoxetine,"""there are pros and cons with prozac. the pros: helped me a lot with generalized anxiety and obsessive thinking. it's a cheap medicine. the cons: made some emotions that i wanted to experience, a bit numb. my mum passed away last year, and it was difficult to grieve for her because i couldn't feel the full weight of the emotion. also, if/when coming off prozac, the withdrawal can be difficult if not managed properly.""",8
Ethinyl estradiol / levonorgestrel,"""i've been on birth control for almost 2 years and have gone through about 8 different brands of pill. aviane if the only one that keeps my emotions balanced. i noticed a little weight gain, and my breasts got bigger, but really other than that its been effective, affordable, and doesn't cause me stress or discomfort. my periods went from 7-9 days to 3-5 days and its great.""",8
Etonogestrel,"""i had the nexplanon inserted about eight months ago. i did plenty of research before, so i knew what to expect in the first few months, as far as bleeding/spotting, headaches, etc. without birth control, i went through about five ultra tampons on an average period day. when my ""period"" came around on the nexplanon, it was barely anything (light enough to wear a pantyliner while at work without needing to change it). i thought i finally found the perfect birth control. however, the last three or four months, i've had a constant period, with a couple of days here and there with nothing. it's terrible. and although it isn't as heavy as it used to be, it's heavier than it was when i started nexplanon""",3
Magnesium sulfate / potassium sulfate / sodium sulfate,"""i took this and a couple of weeks later had to have an endoscopy due to severe abdominal pain.  it contains sucralose, so if you are allergic to that, look out. i would not recommend it to anyone who has a sensitive stomach. """,1
Bentyl,"""i have had irritable bowel syndrome-c for most of my adult life, and this medicine is the only thing that calms everything down. i do not take it every day - only when things get intolerable, and even then i usually try to take it at night, as it does cause drowsiness and ""cognitive impairment.""  it definitely works, though! in my opinion, it's worth a try.""",8
Topiramate,"""i was only on this medicine for a week and had a horrible experience. i switched from amitriptyline to topamax for my migraines due to the previous medicine not doing it's job as well. within the week of taking the new medicine i became completely unable to sleep at night, upset stomach 24/7 and an a horrible level of unquenchable thirst. the no sleep was the worst part; i'm usually a pretty great sleeper, so going from 7-8 hours of sleep a night to maybe 3-4 hours a night was rough on my physical and emotional self. i was advised to stop the medicine tonight by my doctor and cannot wait to return to myself. i even still had migraines while on this medicine. would not recommend.""",4
Nexplanon,"""i've had nexplanon for 14 months with no period at all since i had my son. then all of a sudden two weeks ago i started spotting. never really got heavy enough for a pad so i used panty liners. it lasted 10 days. stopped last saturday september 5th. then yesterday i'm it starts again but this time it's heavier, i have no choice but to wear a pad. i went to the er this morning because i thought something was wrong, they said everything is normal and that it is probably breakthrough bleeding. i'm pissed because i went over a year without any periods and my gyno told me that most likely i wouldn't get one at all and now this. i loved it until now. i'm trying to stick it out for a month or so to see if it regulates. if not i'm having it removed""",8
Azelastine,"""i have had been through hell and back with my allergies and sinuses.  i’m not sure what to do.  i am too allergic for allergy shots, so the allergist put me on this nasal spray plus flonase.  i’ve been super sick for years now, and two sinus operations.  today after being on this nasal spray for two weeks is the best i have felt,  because today i didn’t use azelastine.  i think the allergy shot is residing and this medication is wearing off.  i get super shakey and sick to my stomach with a lot of pressure in my stomach.  something isn’t right, my story is too long to tell. i wouldn’t wish it on anyone. i just want to cry.""",1
Minocycline,"""i saw a dermo for what was diagnosed as rosacea and was put on  every topical they had over a 3 month span. my skin got so bad from the pill (allergic reaction) and topical foam, metrogel,  mirvasa that i was getting seriously depressed. i never had real bad skin i just got flushed in some stressful situations. hey, i am in sales they are all stressful at the end of a quarter. the medications had me so messed up until i was referred to another highly recommended doctor. he took me off everything and put me on solodyn. one pill a day, a little lotion, sunscreen. i am not sure if getting off the topical or using solodyn or both was the answer, but i am getting back to normal. my new doctor said he could give me something for the flushing""",10
Prozac,"""prozac saved me! i've been in and out of hospitals for 10 years. was diagnosed with major depressive disorder. after changing doctors and medicines i finally feel like myself again. i here no voices of worry and stress. i'm not irritated over the slightest things. i can now think clearer. after months of depression and panic attracts my new doctor recommended prozac. for weeks i felt nausea and weakness. then on the third week i got up and out and got a job the same day! i was no longer stuttering and confused. my relationship with my significant other is 100% better. my thoughts were very clear. i'd finally gained my confidence back! i'm very happy i tried prozac. i feel amazing.""",10
Levofloxacin,"""taking for uti,taken before while i was on chemo/radiation worked great..9 months later i couldn't get out of bed my muscles in back neck hurt ,if i moved wrong muscle spasms took advil seemed to help sleep in chair all night. ..stopped taking...sucks cause i'm on vacation""",5
Pentasa,"""was diagnosed about 1 year after an emergency surgery for a mass in my colon due to a build up of scar tissue from inflammation. after a couple months of 500mg 3x a day frequency of flare ups were greatly reduced. only had 2 noticeable symptoms, one of weight gain and an an elevated liver function test. my dosage was reduced to 2x a day and liver function is normal but weight gain is still issue. diet and stress level seems to be the most important factor in controlling flare ups""",8
Sprintec,"""i was on this pill for a month before i made an appointment with my doctor and asked her to switch me off of it. the first signs i noticed setting in were my loss of appetite, i then began to become very depressed, crying almost everyday causing my sleep decrease. at the end of three weeks of taking this pill i had lost 12 pounds, going from my already small size of 121 to 109. """,3
Cymbalta,"""was prescribed cymbalta 1.5 years ago to treat major depressive disorder. helped lessen the sadness caused by depression, but also made me numb emotionally. decided to taper off of cymbalta, while being advised by my physician, and the withdrawal symptoms were terrible. currently still on 30mg (down from 120mg) and going to look for easier ways to withdraw. 

would not recommend cymbalta to anyone, as i feel i was doing better before i started the medication, and the withdrawal symptoms aren't worth it.""",3
Ativan,"""i was prescribed lorazepam 1mg up to 3x a day, but they don't seem to be touching me. i suffer from panic attacks, anxiety, etc., and i just permanently feel wired, my legs are going 100mph all the time. i get bad thoughts of doom from nowhere. if i'm not focused on something 100%, i end up letting little thoughts of what if i pass out, etc. i've tried lots of ssri's as well. """,4
Isotretinoin,"""23 year old male.  ive had mild-moderate acne on/off since high school.  tried everything else so decided to give accutane a shot.  for me, i took 40mg the first month and went up to 60mg for the remaining 5 months for a total of 6 months.  months 1-4, acne got better gradually with breakouts here or there.  months 5 and 6 my skin was completely clear.  dryness was the only side effect i experienced. i would recommend this drug.  if you are frightened by the negative effects some people have had, i would say remain on a lower dose and be patient. the bad side effects supposedly increase at higher dosages.   another note: i weigh 160 lbs and the target mg for me was 72mg a day. i did less and still saw results""",9
Morphine,"""the medication was far superior and hopefully safer than using percocet. the issue is continuous relief for several torn/ruptured discs. surgical intervention is not guaranteed to resolve my problem. pain level is 5-6 continuous and takes over your life. so what to do. many personal issues to consider but in the end i realized that until a solution if found i don't have a lot of options here. went to a shrink and others and finally accepted status at this time. never drink, take as directed, and trust yourself. never, never, fall into the trap of changing the dosing from the prescribed format.""",9
Phentermine,"""i was signed up to have the gastric sleeve procedure done but cancelled a few days prior wanting to try again to lose the weight on my own. i was 245 pounds march 28th and am 5'5. i started phentermine shortly after that. i am currently 209lbs and it is july 22nd. very happy with the results. glad i didn't have the operation even if i would be skinner now the risks were just too scary for me to go through with it. i would love to get down to 160lbs! i am going to keep chugging along.""",10
Lorazepam,"""i just started taking lorazepam (ativan), i take it most days. sometimes i don't depending on how i feel. i feel really good on it. i am on 0.5mg. my psych said i can take two though. it relieves my anger, anxiety, and helps with my concentration a little. i am bi-polar and add/adhd. i didn't think benzos would do anything for me because i had been on xanax and klonopin and they did nothing but make me sleepy or agitated for me but there is hope. i give it an a .""",10
Omeprazole,"""this is great medicine i have been using it for a few months now due to bad heartburn & it works great! so far i don't think i have been experiencing any negative side effects i do believe once it gave me constipation but it could have been poor diet but overall great medicine if you suffer from horrible acid reflux!""",10
Prepopik,"""i was prescribed this for a diagnostic colonoscopy to investigate bleeding and loose bowels.    i was assigned the split dose prep,  were you take one dose in the evening and the other the morning of the exam.  the first 5 ounce drink was easy to swallow and i was able to follow it with 5 cups of the clear liquid of choice -i chose two water, one chicken stock, one gingerale and one gatorade.    after an hour the effects kicked in.   i didn't experience any cramping or nausea.  i went to bed two hours after taking it, and got up about once an hour for the next four hours.  i was running clear at this time and considered skipping dose two.  instead i took half the second dose and fluids. i was perfectly clear for exam.""",10
Omeprazole,"""i found this medicine very helpful. took away the discomfort i had in my stomach and chest area. the only negative i had was a dry mouth and a few mild headaches.""",10
Ethinyl estradiol / norethindrone,"""i have been on this pill for about 6 months and my first period after taking this pill was absolutely terrible. it progressively got better and now i get it very lightly for four days. this pill has not helped my acne at all however. plus i am slightly bloated.""",7
Wellbutrin,"""it's effective, and the side effects aren't that bad.
pros:
- it works.
- hasn't caused weight gain.
cons:
- i've noticed that since i started taking it my body temperature has been higher than normal, even if i'm not sick.
- a few times it's made me act hyper. not sure why, but my psychiatrist said i should be fine. doesn't happen very often anymore.
notes:
- not to be taken by people with bipolar disorder. if your doctor prescribes you this, make sure they are aware you're bipolar.
would i recommend? yes.""",8
Bupropion / naltrexone,"""day 15. i have been on the 2 pill in the morning, 1 in the evening for 4 days. i have developed constipation and abdominal pain. i have lost no weight at all. i am most likely going to stop taking this drug. it is not helping and i don't like it.""",1
Gildess Fe 1 / 20,"""i started this birth control 4 months ago right before i left for college in august. i read reviews and i was iffy but my ob promised me everyone's body is different and i should try it out. the first month was okay. i was happy as ever at college. i got horrible cramps when i got my first period on it and my period was really irregular but i figured i just needed to adjust. come late october, november, and now december have been the worst months of my life. i'm crying every day, lost my boyfriend, planned on started therapy, don't want to go back to school, nothing makes me happy i want to do nothing at all times. everybody's body is different but this depression isn't even worth risking. do not take.""",1
Phentermine,"""i took'm 1978. one a day. i wanted to loose 30 pounds 3 months after my delivery of my second child. i took diet pills back on the 60s and 70s, by doctors with no restrictions. i was 26, my body tolerated them well. not mentally,  i feared gaining weight. i was hooked. it did affect me mentally. yeah, it gave me energy. energy any mom with two kids and a baby that worked, kept a house clean etc.. i was tired but down to 130 on two months, but i couldn't give them up. i took them for over a year got down to 114. tight muscles and looked great. but i crashed after the divorce and ended up on a pysc ward with severe depression, don't take them!! i got cancer a few months later. they are as addictive as speed. loose weight the healthy way!""",8
Norethindrone,"""dr. prescribed for abnormal bleeding, post d&c for pcos . it has been a lifesaver for me. no cramps, period lasts no longer than 2-3days... breast tenderness something ive nevr felt until i started bc. i hadnt felt many ""normal"" female symptoms before due to my irregular condition(s). therefore i was happy to experience them. i actually feel like a grown up.""",10
Carbatrol,"""i have been taking carbatrol 200mg for 13 years and i can only pin point me being tired from the medicine. when i take it like prescribed i do not have any episodes.""",9
Ortho Micronor,"""i was put on this because combo birth control made me super dizzy with migraines and throwing up. 

i was super nervous to take this pill because of the reviews. however, so far this is the only pill that has worked! i do have cramps randomly and i am bloated a lot. no migraines or dizzyness! it does mess up your period though! mine is never regular.""",9
